med,indication
"albumin human, usp",hypoalbuminemia
"albumin human, usp",nephrotic syndrome
"albumin human, usp",shock
fomepizole,methanol poisioning
fomepizole,ethelyn glycol poisioning
bendamustine,chronic lymphocytic leukemia
bendamustine,multiple myeloma
bendamustine,non-hodgkins lymphoma
carmustine,hodgkin disease
carmustine,ependymoma
carmustine,lymphoma
carmustine,melanoma
carmustine,malignant glioma
carmustine,lung neoplasms
carmustine,colorectal neoplasms
carmustine,brain neoplasms
carmustine,medulloblastoma
carmustine,hematologic cancer
carmustine,lymphatic system cancer
carmustine,melanoma
carmustine,skin cancer
carmustine,not_found
carmustine,multiple myeloma
carmustine,glioblastoma
carmustine,carcinoma
carmustine,hodgkin disease
carmustine,ependymoma
carmustine,lymphoma
carmustine,melanoma
carmustine,malignant glioma
carmustine,lung neoplasms
carmustine,colorectal neoplasms
carmustine,brain neoplasms
carmustine,medulloblastoma
carmustine,hematologic cancer
carmustine,lymphatic system cancer
carmustine,melanoma
carmustine,skin cancer
carmustine,not_found
carmustine,multiple myeloma
carmustine,glioblastoma
carmustine,carcinoma
estramustine,prostatic neoplasms
estramustine,prostatic neoplasms
estramustine,prostatic neoplasms
estramustine,prostatic neoplasms
lomustine,kidney neoplasm
lomustine,hodgkin disease
lomustine,lymphoma
lomustine,melanoma
lomustine,colorectal neoplasms
lomustine,lung neoplasms
lomustine,kidney neoplasm
lomustine,brain neoplasms
lomustine,melanoma
lomustine,hematologic cancer
lomustine,skin cancer
lomustine,not_found
lomustine,kidney neoplasm
lomustine,hodgkin disease
lomustine,lymphoma
lomustine,melanoma
lomustine,colorectal neoplasms
lomustine,lung neoplasms
lomustine,kidney neoplasm
lomustine,brain neoplasms
lomustine,melanoma
lomustine,hematologic cancer
lomustine,skin cancer
lomustine,not_found
cyclophosphamide,retinoblastoma
cyclophosphamide,endometrial neoplasms
cyclophosphamide,neuroblastoma
cyclophosphamide,lymphoma
cyclophosphamide,leukemias
cyclophosphamide,lupus nephritis
cyclophosphamide,multiple sclerosis
cyclophosphamide,granulomatosis with polyangiitis
cyclophosphamide,ewings sarcoma
cyclophosphamide,mycosis fungoides
cyclophosphamide,malignancy
cyclophosphamide,ovarian neoplasm
cyclophosphamide,testicular neoplasms
cyclophosphamide,idiopathic thrombocytopenic purpura
cyclophosphamide,autoimmune hemolytic anemia
cyclophosphamide,multiple myeloma
cyclophosphamide,rhabdomyosarcoma
cyclophosphamide,pure red-cell aplasia
cyclophosphamide,hemosiderosis
cyclophosphamide,lung neoplasms
cyclophosphamide,rheumatism
cyclophosphamide,hodgkin disease
cyclophosphamide,nephrotic syndrome
cyclophosphamide,myasthenia gravis
cyclophosphamide,waldenstrom macroglobulinemia
cyclophosphamide,retinoblastoma
cyclophosphamide,endometrial neoplasms
cyclophosphamide,neuroblastoma
cyclophosphamide,lymphoma
cyclophosphamide,leukemias
cyclophosphamide,lupus nephritis
cyclophosphamide,multiple sclerosis
cyclophosphamide,granulomatosis with polyangiitis
cyclophosphamide,ewings sarcoma
cyclophosphamide,mycosis fungoides
cyclophosphamide,malignancy
cyclophosphamide,ovarian neoplasm
cyclophosphamide,testicular neoplasms
cyclophosphamide,idiopathic thrombocytopenic purpura
cyclophosphamide,autoimmune hemolytic anemia
cyclophosphamide,multiple myeloma
cyclophosphamide,rhabdomyosarcoma
cyclophosphamide,pure red-cell aplasia
cyclophosphamide,hemosiderosis
cyclophosphamide,lung neoplasms
cyclophosphamide,rheumatism
cyclophosphamide,hodgkin disease
cyclophosphamide,nephrotic syndrome
cyclophosphamide,myasthenia gravis
cyclophosphamide,waldenstrom macroglobulinemia
procarbazine,hodgkin disease
procarbazine,lymphoma
procarbazine,melanoma
procarbazine,lung neoplasms
procarbazine,brain neoplasms
procarbazine,lung neoplasms
procarbazine,hematologic cancer
procarbazine,melanoma
procarbazine,skin cancer
procarbazine,not_found
procarbazine,multiple myeloma
procarbazine,hodgkin disease
procarbazine,lymphoma
procarbazine,melanoma
procarbazine,lung neoplasms
procarbazine,brain neoplasms
procarbazine,lung neoplasms
procarbazine,hematologic cancer
procarbazine,melanoma
procarbazine,skin cancer
procarbazine,not_found
procarbazine,multiple myeloma
temozolomide,skin cancer
temozolomide,melanoma
temozolomide,malignant glioma
temozolomide,not_found
temozolomide,skin cancer
temozolomide,melanoma
temozolomide,malignant glioma
temozolomide,not_found
phentolamine,pheochromocytoma
phentolamine,hypertension
phentolamine,complex regional pain syndrome
phenoxybenzamine,pheochromocytoma
phenoxybenzamine,urinary incontinence
phenoxybenzamine,bladder neck obstruction
phenoxybenzamine,complex regional pain syndrome
phenoxybenzamine,hypertension
phenoxybenzamine,urinary incontinence
phenoxybenzamine,bladder neck obstruction
phenoxybenzamine,not_found
miglitol,diabetes mellitus
silodosin,prostatic neoplasms
silodosin,prostatic hyperplasia
silodosin,urinary retention
silodosin,benign prostatic hyperplasia
prazosin,prostatic neoplasms
prazosin,prostatic hyperplasia
prazosin,urinary retention
prazosin,benign prostatic hyperplasia
terazosin,hypertension
terazosin,hypertension
terazosin,prostatic neoplasms
terazosin,prostatic hyperplasia
terazosin,urinary retention
terazosin,benign prostatic hyperplasia
alfuzosin,prostatic neoplasms
alfuzosin,prostatic hyperplasia
alfuzosin,urinary retention
alfuzosin,benign prostatic hyperplasia
doxazosin,hypertension
doxazosin,hypertension
doxazosin,prostatic neoplasms
doxazosin,prostatic hyperplasia
doxazosin,urinary retention
doxazosin,benign prostatic hyperplasia
tamsulosin,hypertension
tamsulosin,hypertension
tamsulosin,prostatic neoplasms
tamsulosin,prostatic hyperplasia
tamsulosin,urinary retention
tamsulosin,benign prostatic hyperplasia
apraclonidine,glaucoma
guanabenz,hypertension
guanabenz,hypertension
acarbose,diabetes mellitus
acarbose,diabetes mellitus
arginine,acidosis
arginine,alkalosis
arginine,pituitary diseases
glutamine,short bowel syndrome
glycine,peptic ulcer
amikacin,gram negative infections
amikacin,acinetobacter
amikacin,mycobacterium
gentamicin,tuberculosis
gentamicin,gram negative infections
aminolevulinic acid,not_found
dalfampridine,multiple sclerosis
ammonia,insect bites
benzphetamine,attention deficit hyperactivity disorder
benzphetamine,obesity
benzphetamine,narcolepsy
benzphetamine,attention deficit hyperactive disorder
benzphetamine,narcolepsy
benzphetamine,obesity
dextroamphetamine,attention deficit hyperactivity disorder
dextroamphetamine,obesity
dextroamphetamine,narcolepsy
dextroamphetamine,attention deficit hyperactive disorder
dextroamphetamine,narcolepsy
dextroamphetamine,obesity
lisdexamfetamine,attention deficit hyperactivity disorder
lisdexamfetamine,obesity
lisdexamfetamine,narcolepsy
lisdexamfetamine,attention deficit hyperactive disorder
lisdexamfetamine,narcolepsy
lisdexamfetamine,obesity
amphetamine,attention deficit hyperactivity disorder
amphetamine,obesity
amphetamine,narcolepsy
amphetamine,attention deficit hyperactive disorder
amphetamine,narcolepsy
amphetamine,obesity
methamphetamine,attention deficit hyperactivity disorder
methamphetamine,obesity
methamphetamine,narcolepsy
methamphetamine,attention deficit hyperactive disorder
methamphetamine,narcolepsy
methamphetamine,obesity
pramlintide,diabetes mellitus
danazol,osteoporosis
danazol,growth disorders
danazol,emaciation
danazol,anemia
danazol,hypogonadism
danazol,breast fibrocystic disease
fluoxymesterone,osteoporosis
fluoxymesterone,growth disorders
fluoxymesterone,emaciation
fluoxymesterone,anemia
fluoxymesterone,hypogonadism
fluoxymesterone,breast cancer
oxandrolone,osteoporosis
oxandrolone,growth disorders
oxandrolone,emaciation
oxandrolone,anemia
oxandrolone,hypogonadism
oxymetholone,osteoporosis
oxymetholone,growth disorders
oxymetholone,emaciation
oxymetholone,anemia
oxymetholone,hypogonadism
anagrelide,essential thrombocytosis
benoxinate,local pain
desflurane,general anesthesia
etomidate,brain ischemia
etomidate,status epilepticus
etomidate,epilepsy syndrome
etomidate,pain
etomidate,closed head injuries
etomidate,seizures
isoflurane,general anesthesia
ketamine,general anesthesia
ketamine,conscious sedation
ketamine,pain
ketamine,anasthesia
ketamine,depression
nitrous oxide,general anesthesia
nitrous oxide,conscious sedation
propofol,status epilepticus
propofol,epilepsy syndrome
propofol,seizures
propofol,alcohol withdrawal
propofol,conscious sedation
sevoflurane,general anesthesia
sodium bicarbonate,dyspepsia
sodium bicarbonate,acidosis
ivermectin,enterobiasis
ivermectin,trichuris trichiura
ivermectin,onchocerciasis
ivermectin,ascariasis
ivermectin,elephantiasis
ivermectin,mansonelliasis
ivermectin,strongyloidiasis
ivermectin,scabies
lodoxamide,keratoconjunctivitis
lumefantrine,malaria
atovaquone,pneumocystis jiroveci
atovaquone,toxoplasmosis cerebral
atovaquone,pneumocystis jiroveci
atovaquone,toxoplasmosis cerebral
abiraterone,hirsutism
abiraterone,not_found
abiraterone,prostatic neoplasms
abiraterone,prostatic neoplasms
bicalutamide,hirsutism
bicalutamide,not_found
bicalutamide,prostatic neoplasms
bicalutamide,prostatic neoplasms
enzalutamide,hirsutism
enzalutamide,not_found
enzalutamide,prostatic neoplasms
enzalutamide,prostatic neoplasms
flutamide,hirsutism
flutamide,not_found
flutamide,prostatic neoplasms
flutamide,prostatic neoplasms
nilutamide,hirsutism
nilutamide,not_found
nilutamide,prostatic neoplasms
nilutamide,prostatic neoplasms
ranolazine,chronic angina
amiodarone,paroxysmal supraventricular tachycardia
amiodarone,supraventricular tachycardia
amiodarone,ventricular fibrillation
amiodarone,ventricular fibrillation
amiodarone,atrial fibrillation
amiodarone,atrial fibrillation
amiodarone,atrial flutter
amiodarone,atrial flutter
amiodarone,ventricular tachycardia
amiodarone,ventricular tachycardia
disopyramide,atrial fibrillation
disopyramide,atrial fibrillation
disopyramide,atrial premature complexes
disopyramide,atrial flutter
disopyramide,ventricular tachycardia
disopyramide,premature ventricular contraction
dofetilide,atrial fibrillation
dofetilide,atrial fibrillation
dofetilide,atrial flutter
dofetilide,not_found
dofetilide,atrial flutter
dronedarone,atrial fibrillation
dronedarone,atrial fibrillation
dronedarone,atrial flutter
dronedarone,not_found
dronedarone,atrial flutter
flecainide,paroxysmal supraventricular tachycardia
flecainide,supraventricular tachycardia
flecainide,ventricular fibrillation
flecainide,ventricular fibrillation
flecainide,atrial fibrillation
flecainide,atrial fibrillation
flecainide,atrial flutter
flecainide,atrial flutter
flecainide,ventricular tachycardia
flecainide,ventricular tachycardia
"ibuti, bacterial infectionslide",atrial fibrillation
"ibuti, bacterial infectionslide",atrial fibrillation
"ibuti, bacterial infectionslide",atrial flutter
"ibuti, bacterial infectionslide",not_found
"ibuti, bacterial infectionslide",atrial flutter
mexiletine,premature ventricular contraction
mexiletine,chronic pain
mexiletine,ventricular fibrillation
mexiletine,ventricular fibrillation
mexiletine,myotonia
procainamide,paroxysmal supraventricular tachycardia
procainamide,supraventricular tachycardia
procainamide,ventricular fibrillation
procainamide,ventricular fibrillation
procainamide,atrial fibrillation
procainamide,atrial fibrillation
procainamide,atrial flutter
procainamide,atrial flutter
procainamide,ventricular tachycardia
procainamide,ventricular tachycardia
propafenone,atrial fibrillation
propafenone,atrial fibrillation
propafenone,paroxysmal supraventricular tachycardia
propafenone,supraventricular tachycardia
chloramphenicol,bacteroides
chloramphenicol,streptococcus
chloramphenicol,meningococcal meningitis
chloramphenicol,rickettsia infections
chloramphenicol,haemophilus
chloramphenicol,salmonella infections
chloramphenicol,otitis externa
chloramphenicol,bacterial infection
bedaquiline,tuberculosis
bedaquiline,bacterial infection
capreomycin,tuberculosis
capreomycin,bacterial infection
cycloserine,tuberculosis
cycloserine,bacterial infection
"rifabuti, bacterial infectionsn",mycobacterium
"rifabuti, bacterial infectionsn",acquired immunodeficiency syndrome
"rifabuti, bacterial infectionsn",tuberculosis
"rifabuti, bacterial infectionsn",bacterial infection
rifampicin,lepromatous leprosy
rifampicin,tuberculosis
rifampicin,mycobacterium
rifampicin,bacterial infection
rifampin,tuberculosis
rifampin,brucellosis
rifampin,staphylococcus
rifampin,lepromatous leprosy
rifampin,meningococcal meningitis
rifampin,haemophilus
rifampin,legionnaires disease
rifampin,bacterial infection
rifapentine,tuberculosis
rifapentine,bacterial infection
bacitracin,cellulitis
bacitracin,wound infection
bacitracin,bacterial conjunctivitis
bacitracin,bacterial infection
clavulanate,bacterial infection
clavulanate,otitis media
clavulanate,haemophilus
clavulanate,staphylococcus
clavulanate,bacterial infection
colistimethate,gram negative infections
colistimethate,bacterial infection
colistin,gram negative infections
colistin,bacterial infection
dalbavancin,gram positive infections
dalbavancin,bacterial infection
dalfopristin,gram positive infections
dalfopristin,bacterial infection
daptomycin,cellulitis
daptomycin,bacteremia
daptomycin,bacterial infection
ethionamide,tuberculosis
ethionamide,bacterial infection
fosfomycin,gram negative infections
fosfomycin,bacterial infection
lincomycin,pneumococcus
lincomycin,staphylococcus
lincomycin,bacterial infection
linezolid,bacterial infection
natamycin,trichomonas vaginitis
natamycin,conjunctivitis
natamycin,cryptococcosis
natamycin,candidiasis
natamycin,coccidioidomycosis
natamycin,blepharitis
natamycin,sporotrichosis
natamycin,microsporidiosis
natamycin,aspergillosis
natamycin,keratitis
natamycin,histoplasmosis
natamycin,blastomycosis
natamycin,bacterial infection
neomycin,cellulitis
neomycin,bacterial infection
neomycin,escherichia coli
neomycin,hepatic encephalopathy
neomycin,bacterial infection
oritavancin,bacterial infection
paromomycin,amebiasis
paromomycin,cryptosporidiosis
paromomycin,bacterial infection
paromomycin,protozoal infections
polymyxin b,bacterial infection
quinupristin,bacterial infection
retapamulin,bacterial infection
rifaximin,gram negative infections
rifaximin,hepatic encephalopathy
rifaximin,bacterial infection
streptomycin,chancroids
streptomycin,granuloma inguinale
streptomycin,brucellosis
streptomycin,streptococcus
streptomycin,plague
streptomycin,proteus
streptomycin,tularemia
streptomycin,infective endocarditis
streptomycin,urinary tract infection
streptomycin,bacterial infection
streptomycin,mycobacterium
streptomycin,escherichia coli
streptomycin,klebsiella
streptomycin,bacterial infection
sulbactam,cellulitis
sulbactam,staphylococcus
sulbactam,proteus
sulbactam,acinetobacter
sulbactam,escherichia coli
sulbactam,klebsiella
sulbactam,bacterial infection
tedizolid,gram positive infections
tedizolid,cellulitis
tedizolid,bacterial infection
telavancin,gram positive infections
telavancin,bacterial infection
tobramycin,urinary tract infection
tobramycin,bacterial infection
tobramycin,gram negative infections
tobramycin,bacterial infection
trimethoprim,pneumocystis jiroveci
trimethoprim,gram positive infections
trimethoprim,gram negative infections
trimethoprim,bacterial infection
vancomycin,gram positive infections
vancomycin,bacterial infection
nitrofurantoin,gram negative infections
nitrofurantoin,urinary tract infection
nitrofurantoin,bacterial infection
nitrofurantoin,bacterial infection
mafenide,wound infection
mafenide,bacterial infection
tiotropium bromide,asthma
tiotropium bromide,chronic obstructive pulmonary disease
tiotropium bromide,bronchitis
tiotropium bromide,bronchoconstriction
aclidinium,asthma
aclidinium,chronic obstructive pulmonary disease
aclidinium,bronchitis
aclidinium,bronchoconstriction
aclidinium bromide,asthma
aclidinium bromide,chronic obstructive pulmonary disease
aclidinium bromide,bronchitis
aclidinium bromide,bronchoconstriction
atropine,uveitis
atropine,sinoatrial block
atropine,pancreatitis
atropine,crohns disease
atropine,bradycardia
atropine,parkinsons disease
atropine,gastric ulcer
atropine,bradycardia
glycopyrrolate,peptic ulcer
glycopyrrolate,not_found
homatropine,mydriatic
ipratropium,bronchitis
ipratropium,bronchospasm
ipratropium,emphysema
ipratropium,rhinitis
ipratropium bromide,asthma
umeclidinium,not_found
darifenacin,not_found
solifenacin,urge incontinence
solifenacin,multiple sclerosis
solifenacin,overactive bladder
brivaracetam,seizures
brivaracetam,epilepsy
brivaracetam,seizures
brivaracetam,epilepsy
carbamazepine,restless legs syndrome
carbamazepine,bipolar disorder
carbamazepine,restless legs syndrome
carbamazepine,multiple sclerosis
carbamazepine,epilepsy syndrome
carbamazepine,post traumatic stress disorder
carbamazepine,epilepsy complex partial
carbamazepine,psychosis
carbamazepine,schizophrenia
carbamazepine,trigeminal neuralgia
carbamazepine,bipolar disorder
carbamazepine,schizophrenia
carbamazepine,seizures
carbamazepine,seizures
carbamazepine,epilepsy
ethosuximide,absence epilepsy
ethosuximide,seizures
ethosuximide,epilepsy
ethotoin,epilepsy complex partial
ethotoin,seizures
ethotoin,seizures
ethotoin,epilepsy
felbamate,epilepsy syndrome
felbamate,anemia
felbamate,seizures
felbamate,epilepsy
lacosamide,epilepsy syndrome
lacosamide,seizures
lacosamide,epilepsy
lamotrigine,schizophrenia
lamotrigine,epilepsy syndrome
lamotrigine,bipolar disorder
lamotrigine,seizures
lamotrigine,epilepsy
levetiracetam,juvenile myoclonic epilepsy
levetiracetam,epilepsy syndrome
levetiracetam,seizures
levetiracetam,epilepsy partial
levetiracetam,seizures
levetiracetam,epilepsy
mesuximide,seizures
mesuximide,epilepsy
methsuximide,seizures
methsuximide,epilepsy
oxcarbazepine,multiple sclerosis
oxcarbazepine,epilepsy syndrome
oxcarbazepine,bipolar disorder
oxcarbazepine,seizures
oxcarbazepine,epilepsy
perampanel,seizures
perampanel,epilepsy
phenytoin,status epilepticus
phenytoin,epilepsy syndrome
phenytoin,multiple sclerosis
phenytoin,epilepsy temporal lobe
phenytoin,seizures
phenytoin,epilepsy post-traumatic
phenytoin,seizures
phenytoin,epilepsy
primidone,epilepsy syndrome
primidone,seizures
primidone,epilepsy partial
primidone,tremor
primidone,seizures
primidone,epilepsy
rufinamide,epilepsy syndrome
rufinamide,seizures
rufinamide,epilepsy
stiripentol,seizures
stiripentol,epilepsy
topiramate,migraine
topiramate,epilepsy syndrome
topiramate,bipolar disorder
topiramate,obesity
topiramate,seizures
topiramate,epilepsy
trimethadione,absence epilepsy
trimethadione,epilepsy syndrome
trimethadione,seizures
trimethadione,epilepsy
vigabatrin,west syndrome
vigabatrin,epilepsy syndrome
vigabatrin,epilepsy complex partial
vigabatrin,seizures
vigabatrin,epilepsy
zonisamide,epilepsy syndrome
zonisamide,seizures
zonisamide,epilepsy
maprotiline,bipolar disorder
maprotiline,dysthymic disorder
maprotiline,enuresis
maprotiline,pain
maprotiline,bulimia
maprotiline,duodenal ulcer
maprotiline,panic disorder
maprotiline,panic disorder
metoclopramide,gastro-esophageal reflux disease
metoclopramide,gastroparesis
metoclopramide,systemic scleroderma
metoclopramide,nausea
metoclopramide,prostatic neoplasms
metoclopramide,migraine
metoclopramide,nausea
metoclopramide,vomiting
aprepitant,breast cancer
aprepitant,colon cancer
aprepitant,nausea
aprepitant,vomiting
dronabinol,nausea
dronabinol,vomiting
meclizine,motion sickness
meclizine,vertigo
meclizine,nausea
meclizine,vomiting
rolapitant,nausea
rolapitant,vomiting
scopolamine,diverticulitis
scopolamine,colonic diseases
scopolamine,dysentery
scopolamine,nausea
scopolamine,vomiting
scopolamine,iridocyclitis
scopolamine,rhinitis
scopolamine,parkinsons disease
scopolamine,motion sickness
scopolamine,alzheimers disease
scopolamine,parkinsons disease
scopolamine,facial paralysis
scopolamine,nausea
scopolamine,vomiting
trimethobenzamide,nausea
trimethobenzamide,vomiting
fosphenytoin,epilepsy syndrome
fosphenytoin,seizures
fosphenytoin,epilepsy
pentamidine,pneumocystis jiroveci
pentamidine,leishmaniasis
pentamidine,trypanosomiasis
pentamidine isethionate,pneumocystis jiroveci
pentamidine isethionate,leishmaniasis
pentamidine isethionate,trypanosomiasis
amphotericin b,aspergillosis
amphotericin b,blastomycosis
amphotericin b,candidiasis
amphotericin b,coccidioidomycosis
amphotericin b,cryptococcosis
amphotericin b,fungal infections
amphotericin b liposomal,aspergillosis
amphotericin b liposomal,blastomycosis
amphotericin b liposomal,candidiasis
amphotericin b liposomal,coccidioidomycosis
amphotericin b liposomal,cryptococcosis
amphotericin b liposomal,fungal infections
anidulafungin,fungal infections
butenafine,psoriasis
butenafine,fungal infections
butoconazole,fungal infections
caspofungin,candidiasis
caspofungin,aspergillosis
caspofungin,fungal infections
econazole,candidiasis
econazole,tinea pedis
econazole,tinea versicolor
econazole,fungal infections
efinaconazole,fungal infections
griseofulvin,tinea capitis
griseofulvin,tinea pedis
griseofulvin,tinea cruris
griseofulvin,fungal infections
itraconazole,cryptococcosis
itraconazole,candidiasis
itraconazole,coccidioidomycosis
itraconazole,leishmaniasis
itraconazole,zygomycosis
itraconazole,paracoccidioidomycosis
itraconazole,sporotrichosis
itraconazole,aspergillosis
itraconazole,onychomycosis
itraconazole,neutropenia
itraconazole,histoplasmosis
itraconazole,blastomycosis
itraconazole,fungal infections
ketoconazole,blastomycosis
ketoconazole,seborrheic dermatitis
ketoconazole,candidiasis
ketoconazole,leishmaniasis
ketoconazole,coccidioidomycosis
ketoconazole,paracoccidioidomycosis
ketoconazole,tinea pedis
ketoconazole,acanthamoeba keratitis
ketoconazole,histoplasmosis
ketoconazole,tinea versicolor
ketoconazole,fungal infections
luliconazole,fungal infections
micafungin,fungal infections
miconazole,aspergillosis
miconazole,candidiasis
miconazole,tinea pedis
miconazole,tinea versicolor
miconazole,fungal infections
naftifine,rheumatoid arthritis
naftifine,fungal infections
oxiconazole,fungal infections
posaconazole,fungal infections
sertaconazole,fungal infections
sulconazole,fungal infections
tavaborole,fungal infections
terconazole,fungal infections
tioconazole,fungal infections
fluconazole,pneumonia
fluconazole,candidiasis
fluconazole,meningitis cryptococcal
fluconazole,coccidioidomycosis
fluconazole,fungemia
fluconazole,urinary tract infection
fluconazole,bacterial infection
fluconazole,histoplasmosis
fluconazole,acquired immunodeficiency syndrome
fluconazole,blastomycosis
fluconazole,fungal infections
terbinafine,tinea capitis
terbinafine,tinea pedis
terbinafine,tinea cruris
terbinafine,fungal infections
voriconazole,tinea capitis
voriconazole,tinea pedis
voriconazole,tinea cruris
voriconazole,fungal infections
praziquantel,parasitic intestinal diseases
praziquantel,clonorchiasis
praziquantel,cysticercosis
praziquantel,opisthorchiasis
praziquantel,schistosomiasis
hydroxyzine,pruritis
hydroxyzine,anxiety
hydroxyzine,vomiting
hydroxyzine,nausea
bepotastine,allergic rhinitis
dimenhydrinate,allergic rhinitis
dimenhydrinate,nausea
dimenhydrinate,vomiting
dimenhydrinate,parkinsons disease
dimenhydrinate,schizophrenia
dimenhydrinate,motion sickness
dimenhydrinate,vertigo
