input,output
otezla,apremilast
aprepitant,aprepitant
aquaphor,aquaphor
aquaphor ex oint,aquaphor ex oint
arformoterol tartrate,arformoterol
brovana,arformoterol
aricept,donepazil
arimidex,anastrozole
abilify,aripiprazole
aripiprazole,aripiprazole
aripiprazole lauroxil,aripiprazole
aristada,aripiprazole
armodafinil,armodafinil
arnicare arthritis,topical antiinflamatory
arnicare ex gel,topical antiinflamatory
artificial saliva,artificial saliva
artificial tear,artificial tear
artificial tear ointment,artificial tear
artificial tear solution,artificial tear
dextran 70-hypromellose,artificial tear
artificial tear op,artificial tears
artificial tear solution op,artificial tears
artificial tears,artificial tears
artificial tears op,artificial tears
refresh op,artificial tears
refresh optive advanced op,artificial tears
refresh optive advanced pf,artificial tears
refresh optive op,artificial tears
refresh optive pf op,artificial tears
refresh p.m. op oint,artificial tears
systane,artificial tears
systane complete,artificial tears
systane op,artificial tears
systane preservative free op,artificial tears
systane ultra,artificial tears
carboxymeth-glycerin-polysorb,artificial tears
carboxymethylcell-hypromellose,artificial tears
carboxymethylcellul-glycerin,artificial tears
carboxymethylcellulose sod pf,artificial tears
carboxymethylcellulose sod pf op,artificial tears
carboxymethylcellulose sodium,artificial tears
genteal op,artificial tears
genteal tears,artificial tears
lacri-lube op,artificial tears
natural balance tears,artificial tears
natural balance tears op,artificial tears
refresh tears,artificial tears
refresh tears op,artificial tears
sm artificial tears op,artificial tears
soothe xp op soln,artificial tears
liquifilm tears,artificial tears
refresh plus,artificial tears
systane balance,artificial tears
platelet_inhibitor,aspirin
platelet_inhibitor low strength,aspirin
ascorbic acid,ascorbic acid
ascorbic acid er,ascorbic acid
asenapine maleate,asenapine
aspirin,aspirin
aspirin adult low strength,aspirin
aspirin buf(cacarb-mgcarb-mgo),aspirin
aspirin ec,aspirin
aspirin ec low dose,aspirin
aspirin effervescent,aspirin
aspirin low dose,aspirin
aspirin low strength,aspirin
bayer aspirin,aspirin
bufferin low dose,aspirin
cvs aspirin adult low dose,aspirin
cvs aspirin child,aspirin
cvs aspirin ec,aspirin
eq aspirin adult low dose,aspirin
sm aspirin,aspirin
aspirin-acetaminophen-caffeine,"aspirin,acetaminophen,caffeine"
excedrin,"aspirin,acetaminophen,caffeine"
excedrin migraine,"aspirin,acetaminophen,caffeine"
excedrin tension headache,"aspirin,acetaminophen,caffeine"
aspirin-caffeine,"aspirin,caffeine"
aspirin-calcium carbonate,"aspirin,calcium carbonate"
aspirin-dipyridamole er,"aspirin,dipyridamole"
aspirin-dipyridamole,"aspirin,dipyridamole"
atenolol,atenolol
tenormin,atenolol
atenolol-chlorthalidone,"atenolol,chlorthalidone"
cvs athletes foot,topical antifungal
atomoxetine hcl,atomoxetine
atorvastatin calcium,atorvastatin
lipitor,atorvastatin
atovaquone,atovaquone
atrac-tain,atrac-tain
atropine sulfate,atropine
phenohytro,"atropine,hyoscyamine,scopolamine,phenobarbital"
auranofin,auranofin
aveeno skin relief body wash ex,dermatological
avenova,ophathalomological
ayr saline nasal na gel,ayr saline nasal na gel
azathioprine,azathioprine
azelaic acid,azelaic acid
azelastine hcl,azelastine
azelastine-fluticasone,"azelastine,fluticasone"
azilsartan medoxomil,azilsartan
azithromycin,azithromycin
zithromax,azithromycin
bacitracin,bacitracin
bacitracin zinc,bacitracin
bacitracin-neomycin-polymyxin,"bacitracin,neomycin,polymyxin"
bacitracin-polymyxin b,"bacitracin,polymyxin "
baclofen,baclofen
lioresal,baclofen
balmex adult care ex,balmex adult care ex
balmex ex,balmex ex
balsalazide disodium,balsalazide disodium
bath products,bath products
baza protect ex,baza protect ex
beano,alpha galactosidase
beclomethasone diprop hfa,beclomethasone
beclomethasone dipropionate,beclomethasone
qvar,beclomethasone
qvar in,beclomethasone
qvar redihaler,beclomethasone
beclomethasone diprop (nasal),beclomethasone
qnasl,beclomethasone
bee propolis,bee propolis
belatacept,belatacept
benazepril hcl,benazepril
benazepril-hydrochlorothiazide,"benazepril,hydrochlorothiazide"
benefiber,benefiber
bengay greaseless,bengay greaseless
bengay greaseless ex,bengay greaseless ex
bentyl,dicycloverine
cogentin,benzatropine
anbesol,benzocaine
benzocaine,benzocaine
benzocaine-menthol,"benzocaine,menthol"
benzonatate,benzonatate
benzoyl peroxide,benzoyl peroxide
benzoyl peroxide wash,benzoyl peroxide
benzoyl peroxide-cleanser,benzoyl peroxide
benzoyl peroxide-cleanser ex,benzoyl peroxide
benztropine mesylate,benztropine
betamethasone dipropionate,"clotrimazole,betamethasone"
betamethasone dipropionate aug,betamethasone
betamethasone valerate,betamethasone
betaxolol hcl,betaxolol
bethanechol chloride,bethanechol
urecholine,bethanechol
bicalutamide,bicalutamide
bictegravir-emtricitab-tenofov,"bictegravir,emtricitabine,tenofovir"
biktarvy,"bictegravir,emtricitabine,tenofovir"
bimatoprost,bimatoprost
lumigan,bimatoprost
binimetinib,binimetinib
biofreeze,biofreeze
biofreeze colorless,biofreeze colorless
biotene dry mouth gentle mt liqd,biotene dry mouth gentle mt liqd
biotene dry mouth mt,biotene dry mouth mt
biotene dry mouth mt liqd,biotene dry mouth mt liqd
biotene moisturizing mouth mt,biotene moisturizing mouth mt
biotin,biotin
biotin forte,biotin
ra biotin,biotin
bismuth tribromoph-petrolatum,"bismuth tribromoph,petrolatum"
bisoprolol fumarate,bisoprolol
bisoprolol-hydrochlorothiazide,"bisoprolol,hydrochlorothiazide"
boron,boron
brexpiprazole,brexpiprazole
rexulti,brexpiprazole
brimonidine tartrate,brimonidine
brimonidine tartrate op,brimonidine
brimonidine tartrate-timolol,"brimonidine,timolol"
combigan,"brimonidine,timolol"
azopt,brinzolamide
brinzolamide,brinzolamide
brinzolamide-brimonidine,"brinzolamide,brimonidine"
simbrinza,"brinzolamide,brimonidine"
brivaracetam,brivaracetam
briviact,brivaracetam
bromfenac sodium,bromfenac
prolensa,bromfenac
bromocriptine mesylate,bromocriptine
bromaline,"brompheniramine,pseudoephedrine"
brompheniramine-pseudoeph,"brompheniramine,pseudoephedrine"
budesonide,budesonide
budesonide in,budesonide
pulmicort flexhaler,budesonide
pulmicort in,budesonide
pulmicort,budesonide
budesonide-formoterol fumarate,"budesonide,formoterol"
symbicort,"budesonide,formoterol"
bumetanide,bumetanide
belbuca,buprenorphine
belbuca bu,buprenorphine
buprenorphine,buprenorphine
buprenorphine hcl,buprenorphine
sublocade,buprenorphine
buprenorphine hcl-naloxone hcl,"buprenorphine,naloxone"
suboxone,"buprenorphine,naloxone"
suboxone sl,"buprenorphine,naloxone"
zubsolv,"buprenorphine,naloxone"
bupropion hbr,bupropion
bupropion hbr er,bupropion
bupropion hcl,bupropion
bupropion hcl er,bupropion
wellbutrin,bupropion
bupropion hcl (smoking deter),bupropion
wellbutrin xl,bupropion
buspar,buspirone
buspirone hcl,buspirone
butalbital-acetaminophen,"butalbital,acetaminophen"
butalbital-apap-caffeine,"butalbital,acetaminophen,caffeine"
fioricet,"butalbital,acetaminophen,caffeine"
butalbital-asa-caff-codeine,"butalbital,acetaminophen,caffeine,codeine"
butalbital-aspirin-caffeine,"butalbital,aspirin,caffeine"
butalbital-apap-caff-cod,"butalbital,aspirin,caffeine,codeine"
butorphanol tartrate,butorphanol
cabazitaxel,cabazitaxel
cabergoline,cabergoline
cabozantinib s-malate,cabozantinib
calamine,calamine
calamine-zinc oxide,"calamine,zinc oxide"
calcipotriene,calcipotriene
calcipotriene-betameth diprop,"calcipotriene,betamethasone"
calcitonin,calcitonin
calcitonin (salmon),calcitonin
calcium,calcium
calcium carbonate,calcium
calcium citrate,calcium
calcium gluconate,calcium
calcium gummies,calcium
caltrate,calcium
caltrate minis plus minerals,calcium
cvs calcium,calcium
calcitrate,calcium
citrus calcium,calcium
oysco,calcium
oyster calcium,calcium
oyster shell,calcium
oyster shell calcium,calcium
viactiv,calcium
caltrate plus po,calcium
calcium acetate,calcium acetate
calcium acetate (phos binder),calcium acetate
calcium carbonate antacid,calcium carbonate
calcium-carb,calcium carbonate
ca carbonate-mag hydroxide,"calcium carbonate,magnesium hydroxide"
calcium hightency/vitamin d,calcium hightency/vitamin d
calciumlycarbophil,calcium polycarbophil
calcium polycarbophil,calcium polycarbophil
calcium soft chews,calcium soft chews
calcium citrate-mag-minerals,"calcium,magnesium"
calcium magnesium,"calcium,magnesium"
calcium-magnesium,"calcium,magnesium"
calcium-magnesium-vitamin d,"calcium,magnesium,vitamin d"
calcium-magnesium-vitamin d er,"calcium,magnesium,vitamin d"
calcium-magnesium-zinc,"calcium,magnesium,zinc"
cal-mag-zinc-d,"calcium,magnesium,zinc"
cal-mag-zinc,"calcium,magnesium,zinc,vitamin d"
calcium & vit d3,"calcium,vitamin d"
calcium + d,"calcium,vitamin d"
calcium + d3,"calcium,vitamin d"
calcium carb-cholecalciferol,"calcium,vitamin d"
calcium carbonate-vitamin d,"calcium,vitamin d"
calcium carbonate-vitamin d3,"calcium,vitamin d"
calcium citrate + d,"calcium,vitamin d"
calcium citrate + d3,"calcium,vitamin d"
calcium citrate-vitamin d,"calcium,vitamin d"
calcium citrate+d3,"calcium,vitamin d"
calcium plus vitamin d,"calcium,vitamin d"
calcium-d,"calcium,vitamin d"
calcium-vitamin d,"calcium,vitamin d"
calcium-vitamin d3,"calcium,vitamin d"
calcium/c/d,"calcium,vitamin d"
calcium/d3,"calcium,vitamin d"
calcium/vitamin d,"calcium,vitamin d"
calcium carbonate-vit d-min,"calcium,vitamin d"
calcium-phosphorus-vitamin d,"calcium,vitamin d"
calcium-vitamin d-vitamin k,"calcium,vitamin d"
calcium-vitamins c & d,"calcium,vitamin d"
liquid calcium with d3,"calcium,vitamin d"
oyster shell calcium + d,"calcium,vitamin d"
calmoseptine,calmoseptine
calmoseptine ex,calmoseptine ex
camphor-eucalyptus-menthol,camphor-eucalyptus-menthol
camphor-menthol,"camphor,menthol"
camphor-menthol-methyl sal,"camphor,menthol,methyl salycilate"
canagliflozin,canagliflozin
invokana,canagliflozin
candesartan cilexetil,candesartan
cannabidiol,cannabidiol
capecitabine,capecitabine
capsaicin,capsaicin
capsaicin arthritis relief ex,capsaicin arthritis relief ex
capsaicin ex,capsaicin ex
captopril,captopril
carbamazepine,carbamazepine
carbamazepine er,carbamazepine
carbamide peroxide,carbamide peroxide
carbidopa-levodopa,"carbidopa,levodopa"
carbidopa-levodopa er,"carbidopa,levodopa"
rytary,"carbidopa,levodopa"
sinemet,"carbidopa,levodopa"
carbidopa-levodopa-entacapone,"carbidopa,levodopa,entacapone"
carboplatin,carboplatin
carboplatin iv,carboplatin
paraplatin iv,carboplatin
cardura,doxazosin
vraylar,caripazine
cariprazine hcl,cariprazine
carisoprodol,carisoprodol
carteolol hcl,carteolol
carvedilol,carvedilol
carvedilol phosphate,carvedilol
carvedilol phosphate er,carvedilol
coreg,carvedilol
cefadroxil,cefadroxil
cefazolin ivpb,cefazolin
cefdinir,cefdinir
cefepime hcl,cefepime
cefepime ivpb,cefepime
maxipime,cefepime
cefixime,cefixime
cefpodoxime proxetil,cefpodoxime
cefprozil,cefprozil
ceftazidime,ceftazidime
rocephin iv,ceftriaxone
rocephin,ceftriaxone
ceftriaxone ivpb,ceftriaxone
ceftriaxone sodium,ceftriaxone
cefuroxime axetil,cefuroxime
celebrex,celecoxib
celecoxib,celecoxib
keflex,cephalexin
cephalexin,cephalexin
cerave ex,cerave ex
cerave ex crea,cerave ex crea
cerave ex lotn,cerave ex lotn
cerefolin nac,cerefolin nac
certolizumab pegol,certolizumab
cimzia prefilled sc,certolizumab
cetaphil ex crea,cetaphil ex crea
cetirizine hcl,cetirizine
zyrtec,cetirizine
zyrtec allergy,cetirizine
zyrtec-d,cetirizine
cetirizine-pseudoephedrine,"cetirizine,pseudoephedrine"
cevimeline hcl,cevimeline
chloraseptic,chloraseptic
chlordiazepoxide hcl,chlordiazepoxide
chlordiazepoxide-clidinium,"chlordiazepoxide,clidinium"
chlorella,chlorella
chlorhexidine gluconate,chlorhexidine gluconate
chlorophyll,chlorophyll
chlorphen-pseudoephed-apap,"chlorphenarmine,pseudoephedrine,acetaminophen"
chlorpheniramine maleate,chlorpheniramine
coricidin d,"chlorpheniramine,dextromethorphan"
chlorpheniramine-phenylephrine,"chlorpheniramine,phenylephrine"
chlorpromazine hcl,chlorpromazine
chlorthalidone,chlorthalidone
hygroten,chlorthalidone
cholecalciferol,cholecalciferol
cvs d3,cholecalciferol
replesta,cholecalciferol
cholestyramine,cholestyramine
cholestyramine light,cholestyramine
choline,choline
chromium,chromium
ciclesonide,ciclesonide
ciclopirox,ciclopirox
loprox,ciclopirox
ciclopirox olamine,ciclopirox olamine
cilostazol,cilostazol
cimetidine,cimetidine
cinacalcet hcl,cinacalcet
ciprofloxacin hcl,ciprofloxacin
ciprofloxacin-dexamethasone,"ciprofloxacin,dexamethasone"
celexa,citalopram
citalopram hydrobromide,citalopram
"chlorpheniramine,pseudoephedrine,acetaminophen",isotretinoin
clarithromycin,clarithromycin
clindamycin hcl,clindamycin
clindamycin phosphate,clindamycin
clinisol sf,clinisol sf
clobazam,clobazam
clobetasol propionate,clobetasol
clomiphene citrate,clomiphene
clomipramine hcl,clomipramine
clonazepam,clonazepam
klonopin,clonazepam
clonidine hcl er,clonidine
clonidine,clonidine
clonidine hcl,clonidine
catapres,clonidine
clopidogrel bisulfate,clopidogrel
plavix,clopidogrel
clorazepate dipotassium,clorazepate
lotrimin af,clotrimazole
clotrimazole,clotrimazole
lotrimin,clotrimazole
clotrimazole-betamethasone,"clotrimazole,betamethasone"
clozapine,clozapine
clozaril,clozaril
co enzyme q-10,coenzyme q-10
co q,coenzyme q-11
co q-10,coenzyme q-12
co-enzyme q-10,coenzyme q-13
co-q,coenzyme q-14
coenzyme q-10,coenzyme q-15
coenzyme q10,coenzyme q-16
coq10,co enzyme q-10
mega coq10,co enzyme q-10
coal tar extract,coal tar extract
codeine sulfate,codeine
coenzyme q10-fish oil-vit e,"coenzyme q-10,fish oil,vitamine e"
coenzyme q10-vitamin e,"coenzyme q10,vitamin e"
colace,docusate
colchicine,colchicine
colcrys,colchicine
colchicine-probenecid,"colchicine,probenecid"
cold/flu medicine,cold/flu medicine
colesevelam hcl,colesevelam
colestipol hcl,colestipol
collagen matrix-silver,collagen matrix-silver
collagen matrix-silver ex,collagen matrix-silver ex
collagenase,collagenase
colon care,colon care
combivent respimat,"albuterol,iptratropium"
cosentyx,secukinumab
cosentyx sensoready,secukinumab
cough syrup,cough syrup
cream base,cream base
critic-aid clear ex oint,critic-aid clear ex oint
cromolyn sodium,cromolyn
cyclobenzaprine hcl,cyclobenzaprine
cyclobenzaprine hcl er,cyclobenzaprine
cyclopentolate hcl,cyclopentolate
cyclophosphamide,cyclophosphamide
restasis,cyclosporine
restasis op,cyclosporine
cyproheptadine hcl,cyproheptadine
dabigatran etexilate mesylate,dabigatran
pradaxa,dabigatran
dapsone,dapsone
darifenacin hydrobromide,darifenacin
darifenacin hydrobromide er,darifenacin
darunavir ethanolate,darunavir
prezista,darunavir
dasatinib,dasatinib
dayquil,dayquil
prasterone,dehydronepiandrosterone
delsym,dextromethorphan
prolia,denosumab
prolia sc,denosumab
denosumab,denosumab
denosumab sc,denosumab
denta,denta
deplin,deplin
dermaphor,dermaphor
dermaphor ex oint,dermaphor ex oint
"dermatological products,misc.","dermatological products,misc."
desipramine hcl,desipramine
norpramin,desipramine
desloratadine,desloratadine
Esomeprazole,desmopressin
desmopressin ace spray refrig,desmopressin
apri,"desogestrel,ethinyl estradiol"
desogestrel-ethinyl estradiol,"desogestrel,ethinyl estradiol"
juleber,"desogestrel,ethinyl estradiol"
desonide,desonide
desoximetasone,desoximetasone
desvenlafaxine succinate,desvenlafaxine
deutetrabenazine,deutetrabenazine
dexamethasone,dexamethasone
dexilant,dexlansoprazole
dexlansoprazole,dexlansoprazole
dexmethylphenidate hcl,dexmethylphenidate
dexmethylphenidate hcl er,dexmethylphenidate
focalin xr,dexmethylphenidate
dextroamphetamine sulfate,dextroamphetamine
dextroamphetamine sulfate er,dextroamphetamine
dextromethorphan hbr,dextromethorphan
dextromethorphan polistirex,dextromethorphan
qc tussin cf,dextromethorphan
benzocaine,"dextromethorphan,benzocaine"
dm-doxylamine-acetaminophen,"dextromethorphan,doxylamine,acetaminophen"
dextromethorphan-guaifenesin,"dextromethorphan,guaifenesin"
dm-guaifenesin er,"dextromethorphan,guaifenesin"
dm-phenylephrine-acetaminophen,"dextromethorphan,phenylephrine,acetaminophen"
dextromethorphan-quinidine,"dextromethorphan,quinidine"
nuedexta,"dextromethorphan,quinidine"
diazepam,diazepam
valium,diazepam
diastat adult re,diazepam
dibucaine,dibucaine
diclofenac,diclofenac
diclofenac potassium,diclofenac
diclofenac potassium,diclofenac
diclofenac sodium,diclofenac
voltaren,diclofenac
diclofenac-misoprostol,"diclofenac,misoprostol"
dicloxacillin sodium,dicloxacillin
dicyclomine hcl,dicyclomine
diflunisal,diflunisal
difluprednate,difluprednate
digox,digoxin
digoxin,digoxin
lanoxin,digoxin
dilantin,phenytoin
cartia xt,diltiazem
dilt-xr,diltiazem
diltiazem,diltiazem
diltiazem cd,diltiazem
diltiazem hcl,diltiazem
diltiazem hcl coated beads,diltiazem
diltiazem hcl er,diltiazem
diltiazem hcl er beads,diltiazem
diltiazem hcl er coated beads,diltiazem
cardizem,diltiazem
cardizem cd,diltiazem
matzim la,diltiazem
dimenhydrinate,dimenhydrinate
dimethicone,dimethicone
dimethyl fumarate,dimethyl fumarate
banophen,diphenhydramine
benadryl,diphenhydramine
benadryl allergy,diphenhydramine
diphenhydramine hcl childrens,diphenhydramine
zzzquil,diphenhydramine
diphenhydramine hcl,diphenhydramine
diphenhydramine hcl (sleep),diphenhydramine
night-time sleep aid,diphenhydramine
sleep aid,diphenhydramine
disulfiram,disulfiram
dha,docosahexaenoic acid
dha complete,docosahexaenoic acid
docosahexaenoic acid,docosahexaenoic acid
docusate sodium,docusate
docusate calcium,docusate
dofetilide,dofetilide
dok,dok
dolutegravir sodium,dolutegravir
domeboro,domeboro
donepezil hcl,donepezil
dornase alfa,dornase alfa
dorzolamide hcl,dorzolamide
dorzolamide hcl-timolol mal,"dorzolamide,timolol"
dorzolamide hcl-timolol mal pf,"dorzolamide,timolol"
cosopt,"dorzolamide,timolol"
unisom sleep,doxlamine
unisom,doxlamine
doxazosin mesylate,doxazosin
doxepin hcl,doxepin
doxercalciferol,doxercalciferol
doxycycline hyclate,doxycycline
doxycycline monohydrate,doxycycline
vibramycin,doxycycline
doxylamine succinate,doxylamine
doxylamine succinate (sleep),doxylamine
doxylamine-pyridoxine,"doxylamine,pyridoxine"
diclegis,"doxylamine,pyridoxine"
dph-lido-alhydr-mghydr-simeth,dph-lido-alhydr-mghydr-simeth
dronabinol,dronabinol
dronedarone hcl,dronedarone
drospirenone-ethinyl estradiol,"drospirenone,ethinyl estradiol"
droxidopa,droxidopa
northera,droxidopa
cvs dry eye relief,dry eye relief
dry eye relief drops,dry eye relief drops
dry eye relief drops op,dry eye relief drops op
dry eyes op,dry eyes op
drysol,drysol
dss,dss
dulaglutide,dulaglutide
trulicity,dulaglutide
trulicity sc,dulaglutide
dulcolax,bisacodyl
bisacodyl,bisacodyl
bisacodyl ec,bisacodyl
cymbalta,duloxetine
duloxetine hcl,duloxetine
dupilumab,dupilumab
dupixent,dupilumab
durezol,difluprednate
dutasteride,dutasteride
econazole nitrate,econazole
eletriptan hydrobromide,eletriptan
relpax,eletriptan
elexacaftor-tezacaftor-ivacaft,"elexacaftor,tezacaftor,ivacaftor"
trikafta,"elexacaftor,tezacaftor,ivacaftor"
elidel,elidel
elviteg-cobic-emtricit-tenofaf,"elvitegravir,cobicistat,emtricitabine,tenofovir"
genvoya,"elvitegravir,cobicistat,emtricitabine,tenofovir"
emollient,emollient
emollient ex,emollient ex
empagliflozin,empagliflozin
jardiance,empagliflozin
emtricitabine-tenofovir af,"emtricitabine,tenofovir "
emtricitabine-tenofovir df,"emtricitabine,tenofovir "
truvada,"emtricitabine,tenofovir"
enalapril maleate,enalapril
enalapril-hydrochlorothiazide,"enalapril,hydrochlorothiazide"
braftovi,encorafenib
encorafenib,encorafenib
mektovi,encorafenib
fleet adult,enema
enfamil nutramigen lipil liqd,enfamil
enoxaparin sodium,enoxaparin
lovenox ij,enoxaparin
lovenox,enoxaparin
enstilar,enstilar
ensure,ensure
ensure active,ensure
ensure liqd,ensure
ensure original,ensure
ensure plus,ensure
ensure pudding,ensure
entacapone,entacapone
entecavir,entecavir
enulose,lactulose
enzalutamide,enzalutamide
xtandi,enzalutamide
auvi-q,epinephrine
epinephrine,epinephrine
epipen,epinephrine
epipen ij,epinephrine
eplerenone,eplerenone
aimovig,erenumab
aimovig sc,erenumab
erenumab-aooe,erenumab
erlotinib hcl,erlotinib
ertapenem,ertapenem
ertapenem sodium,ertapenem
invanz,ertapenem
erythromycin base,erythromycin
erythromycin,erythromycin
ilotycin,erythromycin
aranesp,erythropoietin
darbepoetin alfa,erythropoietin
epoetin alfa,erythropoietin
epoetin alfa-epbx,erythropoietin
procrit,erythropoietin
retacrit,erythropoietin
escitalopram oxalate,escitalopram
lexapro,escitalopram
aptiom,eslicarbazepine
eslicarbazepine acetate,eslicarbazepine
nexium,Esomeprazole
esomeprazole magnesium,esomeprazole
estradiol,estradiol
estrace,estradiol
conj estrog-medroxyprogest ace,"estrogen,medroxyprogesterone"
estrogens conj synthetic b,estrogens
premarin,estrogens
prempro,estrogens
edecrin,ethacrynic acid
ethacrynic acid,ethacrynic acid
"estrogens,conjugated",estrogens
estrogens conjugated,estrogens
eszopiclone,eszopiclone
lunesta,eszopiclone
enbrel mini,etanercept
etanercept,etanercept
ethambutol hcl,ethambutol
ethedent,sodium fluoride
junel,"ethinyl estradiol,norethisterone"
junel fe,"ethinyl estradiol,norethisterone"
kelnor,"ethinyl estradiol,norethisterone"
kurvelo,"ethinyl estradiol,norethisterone"
lo loestrin fe,"ethinyl estradiol,norethisterone"
ethosuximide,ethosuximide
ethyl chloride,ethyl chloride
ethyl chloride ex aero,ethyl chloride
ethynodiol diac-eth estradiol,"ethynodiol,ethinyl estradiol"
etodolac,etodolac
etodolac er,etodolac
etonogestrel,etonogestrel
etonogestrel-ethinyl estradiol,"etonogestrel,ethinyl estradiol"
etoposide,etoposide
eucerin ex crea,eucerin ex crea
eucerin ex lotn,eucerin ex lotn
evening primrose oil,evening primrose oil
everolimus,everolimus
evolocumab,evolocumab
repatha pushtronex system,evolocumab
exemestane,exemestane
bydureon,exenatide
exenatide,exenatide
exenatide er,exenatide
eye drops allergy relief op,eye drops allergy relief op
eyelid cleansers,eyelid cleansers
ezetimibe,ezetimibe
zetia,ezetimibe
ezetimibe-simvastatin,"ezetimibe,simvastatin"
famciclovir,famciclovir
famotidine,famotidine
pepcid,famotidine
famotidine-ca carb-mag hydrox,"famotidine,calcium carbonate,magnesium hydroxide"
febuxostat,febuxostat
felbamate,felbamate
felodipine,felodipine
felodipine er,felodipine
fenofibrate,fenofibrate
fenofibrate micronized,fenofibrate
fentanyl,fentanyl
fesoterodine fumarate,fesoterodine
fesoterodine fumarate er,fesoterodine
allegra,fexofenadine
allegra allergy,fexofenadine
fexofenadine hcl,fexofenadine
fexofenadine-pseudoephed er,"fexofenadine,pseudoephedrine"
fexofenadine-pseudoephedrine,"fexofenadine,pseudoephed"
fidaxomicin,fidaxomicin
filgrastim,filgrastim
